2026-04-20 18:05:21 status installed libc6:amd64 2.43-2ubuntu2
2026-04-20 18:05:21 configure libdb5.3t64:amd64 5.3.28+dfsg2-10ubuntu1 <none>
2026-04-20 18:05:21 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-10ubuntu1
2026-04-20 18:05:21 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-10ubuntu1
2026-04-20 18:05:21 status installed libdb5.3t64:amd64 5.3.28+dfsg2-10ubuntu1
2026-04-20 18:05:21 configure libudev1:amd64 259.5-0ubuntu3 <none>
2026-04-20 18:05:21 status unpacked libudev1:amd64 259.5-0ubuntu3
2026-04-20 18:05:21 status half-configured libudev1:amd64 259.5-0ubuntu3
2026-04-20 18:05:21 status installed libudev1:amd64 259.5-0ubuntu3
2026-04-20 18:05:21 configure libmd0:amd64 1.1.0-2build4 <none>
2026-04-20 18:05:21 status unpacked libmd0:amd64 1.1.0-2build4
2026-04-20 18:05:21 status half-configured libmd0:amd64 1.1.0-2build4
2026-04-20 18:05:21 status installed libmd0:amd64 1.1.0-2build4
2026-04-20 18:05:21 configure libattr1:amd64 1:2.5.2-4 <none>
2026-04-20 18:05:21 status unpacked libattr1:amd64 1:2.5.2-4
2026-04-20 18:05:21 status half-configured libattr1:amd64 1:2.5.2-4
2026-04-20 18:05:21 status installed libattr1:amd64 1:2.5.2-4
2026-04-20 18:05:21 configure sysvinit-utils:amd64 3.15-5ubuntu1 <none>
2026-04-20 18:05:21 status unpacked sysvinit-utils:amd64 3.15-5ubuntu1
2026-04-20 18:05:21 status half-configured sysvinit-utils:amd64 3.15-5ubuntu1
2026-04-20 18:05:21 status installed sysvinit-utils:amd64 3.15-5ubuntu1
2026-04-20 18:05:21 configure libext2fs2t64:amd64 1.47.2-3ubuntu4 <none>
2026-04-20 18:05:21 status unpacked libext2fs2t64:amd64 1.47.2-3ubuntu4
2026-04-20 18:05:21 status half-configured libext2fs2t64:amd64 1.47.2-3ubuntu4
